label,precision,recall,f1,support
appendix_title,1.0,1.0,1.0,21
bibliography_item,0.9285714285714286,0.6887417218543046,0.7908745247148289,151
bibliography_title,1.0,1.0,1.0,9
body_text,0.9040697674418605,0.8766737138830162,0.8901610017889088,1419
figure_caption,0.9962121212121212,0.9195804195804196,0.9563636363636364,286
ignore,0.8670212765957447,0.8858695652173914,0.8763440860215054,184
list_item,0.7129186602870813,0.8032345013477089,0.7553865652724968,371
table_caption,1.0,0.6,0.75,5
title_section,0.7246376811594203,1.0,0.8403361344537815,50
title_subsection,0.5585585585585585,0.8266666666666667,0.6666666666666666,75
